dps,mean,population,country,pop_n,species,year
30,0.034273289787231834,BUF_1_gambiae_2012,BUF,1,gambiae,2012
30,0.034175002567056544,BUF_1_gambiae_2012,BUF,1,gambiae,2012
35,0.03559334160627915,BUF_1_gambiae_2012,BUF,1,gambiae,2012
35,0.035577084990415064,BUF_1_gambiae_2012,BUF,1,gambiae,2012
35,0.03578115740232609,BUF_1_gambiae_2012,BUF,1,gambiae,2012
35,0.03587039584685668,BUF_1_gambiae_2012,BUF,1,gambiae,2012
35,0.035604409940484506,BUF_1_gambiae_2012,BUF,1,gambiae,2012
40,0.03647198783324188,BUF_1_gambiae_2012,BUF,1,gambiae,2012
40,0.03637776844721489,BUF_1_gambiae_2012,BUF,1,gambiae,2012
40,0.03668297195838089,BUF_1_gambiae_2012,BUF,1,gambiae,2012
40,0.036562842241196485,BUF_1_gambiae_2012,BUF,1,gambiae,2012
40,0.036493523692905185,BUF_1_gambiae_2012,BUF,1,gambiae,2012
45,0.03778991044141095,BUF_1_gambiae_2012,BUF,1,gambiae,2012
45,0.037678502669955705,BUF_1_gambiae_2012,BUF,1,gambiae,2012
45,0.037302871157349975,BUF_1_gambiae_2012,BUF,1,gambiae,2012
45,0.03722104067035188,BUF_1_gambiae_2012,BUF,1,gambiae,2012
45,0.037507940329586174,BUF_1_gambiae_2012,BUF,1,gambiae,2012
50,0.038392345543557575,BUF_1_gambiae_2012,BUF,1,gambiae,2012
50,0.03859386326749766,BUF_1_gambiae_2012,BUF,1,gambiae,2012
50,0.03848022787364646,BUF_1_gambiae_2012,BUF,1,gambiae,2012
50,0.03839395511004271,BUF_1_gambiae_2012,BUF,1,gambiae,2012
50,0.03839653041641895,BUF_1_gambiae_2012,BUF,1,gambiae,2012
55,0.03921854062604075,BUF_1_gambiae_2012,BUF,1,gambiae,2012
55,0.03899539732936043,BUF_1_gambiae_2012,BUF,1,gambiae,2012
55,0.03934654775798909,BUF_1_gambiae_2012,BUF,1,gambiae,2012
55,0.039376574122273265,BUF_1_gambiae_2012,BUF,1,gambiae,2012
55,0.03932410700152408,BUF_1_gambiae_2012,BUF,1,gambiae,2012
60,0.0398797262773835,BUF_1_gambiae_2012,BUF,1,gambiae,2012
60,0.03962757482640695,BUF_1_gambiae_2012,BUF,1,gambiae,2012
60,0.039316349669283,BUF_1_gambiae_2012,BUF,1,gambiae,2012
60,0.03994253095444547,BUF_1_gambiae_2012,BUF,1,gambiae,2012
60,0.0399422200402026,BUF_1_gambiae_2012,BUF,1,gambiae,2012
65,0.04055549130638211,BUF_1_gambiae_2012,BUF,1,gambiae,2012
65,0.04052332750422063,BUF_1_gambiae_2012,BUF,1,gambiae,2012
65,0.04086793967023656,BUF_1_gambiae_2012,BUF,1,gambiae,2012
65,0.040487487838954984,BUF_1_gambiae_2012,BUF,1,gambiae,2012
65,0.04074387929047083,BUF_1_gambiae_2012,BUF,1,gambiae,2012
70,0.04142429159491614,BUF_1_gambiae_2012,BUF,1,gambiae,2012
70,0.041062267219874486,BUF_1_gambiae_2012,BUF,1,gambiae,2012
70,0.04111515058016856,BUF_1_gambiae_2012,BUF,1,gambiae,2012
70,0.04115806164966431,BUF_1_gambiae_2012,BUF,1,gambiae,2012
70,0.041313992014874235,BUF_1_gambiae_2012,BUF,1,gambiae,2012
75,0.04190457216799496,BUF_1_gambiae_2012,BUF,1,gambiae,2012
75,0.04175266399027607,BUF_1_gambiae_2012,BUF,1,gambiae,2012
75,0.041993807030741424,BUF_1_gambiae_2012,BUF,1,gambiae,2012
75,0.04190845194463611,BUF_1_gambiae_2012,BUF,1,gambiae,2012
75,0.04140497631435759,BUF_1_gambiae_2012,BUF,1,gambiae,2012
80,0.042369846923813737,BUF_1_gambiae_2012,BUF,1,gambiae,2012
80,0.042424426331820586,BUF_1_gambiae_2012,BUF,1,gambiae,2012
80,0.042484906216368745,BUF_1_gambiae_2012,BUF,1,gambiae,2012
80,0.042443602880579766,BUF_1_gambiae_2012,BUF,1,gambiae,2012
80,0.042318512777904584,BUF_1_gambiae_2012,BUF,1,gambiae,2012
85,0.043067772933047484,BUF_1_gambiae_2012,BUF,1,gambiae,2012
85,0.042960944120876206,BUF_1_gambiae_2012,BUF,1,gambiae,2012
85,0.043006477712949215,BUF_1_gambiae_2012,BUF,1,gambiae,2012
85,0.04317285045321595,BUF_1_gambiae_2012,BUF,1,gambiae,2012
85,0.04304558990101192,BUF_1_gambiae_2012,BUF,1,gambiae,2012
90,0.04349972964882708,BUF_1_gambiae_2012,BUF,1,gambiae,2012
90,0.04346071721590702,BUF_1_gambiae_2012,BUF,1,gambiae,2012
90,0.043392806684527635,BUF_1_gambiae_2012,BUF,1,gambiae,2012
90,0.04349597289602738,BUF_1_gambiae_2012,BUF,1,gambiae,2012
90,0.043462162120829984,BUF_1_gambiae_2012,BUF,1,gambiae,2012
95,0.043953221832376016,BUF_1_gambiae_2012,BUF,1,gambiae,2012
95,0.0439703992233883,BUF_1_gambiae_2012,BUF,1,gambiae,2012
95,0.04399072580275284,BUF_1_gambiae_2012,BUF,1,gambiae,2012
95,0.04393232267331108,BUF_1_gambiae_2012,BUF,1,gambiae,2012
95,0.043873060674318703,BUF_1_gambiae_2012,BUF,1,gambiae,2012
10,0.02670573637195241,BUF_1_gambiae_2014,BUF,1,gambiae,2014
10,0.02672875572358444,BUF_1_gambiae_2014,BUF,1,gambiae,2014
10,0.026702447893147838,BUF_1_gambiae_2014,BUF,1,gambiae,2014
10,0.02676398942506202,BUF_1_gambiae_2014,BUF,1,gambiae,2014
10,0.026798283561166883,BUF_1_gambiae_2014,BUF,1,gambiae,2014
15,0.029028281085551583,BUF_1_gambiae_2014,BUF,1,gambiae,2014
15,0.028962231228588813,BUF_1_gambiae_2014,BUF,1,gambiae,2014
15,0.028821717520145708,BUF_1_gambiae_2014,BUF,1,gambiae,2014
15,0.02905141957047485,BUF_1_gambiae_2014,BUF,1,gambiae,2014
15,0.028890712275189624,BUF_1_gambiae_2014,BUF,1,gambiae,2014
20,0.030943615427225683,BUF_1_gambiae_2014,BUF,1,gambiae,2014
20,0.03084683336509574,BUF_1_gambiae_2014,BUF,1,gambiae,2014
20,0.03075867156760896,BUF_1_gambiae_2014,BUF,1,gambiae,2014
20,0.030954978503346192,BUF_1_gambiae_2014,BUF,1,gambiae,2014
20,0.030598413011288562,BUF_1_gambiae_2014,BUF,1,gambiae,2014
25,0.0321690245887248,BUF_1_gambiae_2014,BUF,1,gambiae,2014
25,0.032207349839232464,BUF_1_gambiae_2014,BUF,1,gambiae,2014
25,0.03221107073734,BUF_1_gambiae_2014,BUF,1,gambiae,2014
25,0.032411627145336325,BUF_1_gambiae_2014,BUF,1,gambiae,2014
25,0.032227814778823916,BUF_1_gambiae_2014,BUF,1,gambiae,2014
30,0.03333723804308976,BUF_1_gambiae_2014,BUF,1,gambiae,2014
30,0.03357991812490437,BUF_1_gambiae_2014,BUF,1,gambiae,2014
30,0.03335689548712482,BUF_1_gambiae_2014,BUF,1,gambiae,2014
30,0.03352845136233986,BUF_1_gambiae_2014,BUF,1,gambiae,2014
30,0.03339013443794773,BUF_1_gambiae_2014,BUF,1,gambiae,2014
35,0.03457955137015842,BUF_1_gambiae_2014,BUF,1,gambiae,2014
35,0.03457955137015842,BUF_1_gambiae_2014,BUF,1,gambiae,2014
35,0.034613794029106214,BUF_1_gambiae_2014,BUF,1,gambiae,2014
35,0.034545654596654554,BUF_1_gambiae_2014,BUF,1,gambiae,2014
35,0.03451902141747295,BUF_1_gambiae_2014,BUF,1,gambiae,2014
40,0.03545711044660827,BUF_1_gambiae_2014,BUF,1,gambiae,2014
40,0.0354557644553793,BUF_1_gambiae_2014,BUF,1,gambiae,2014
40,0.03553686042692397,BUF_1_gambiae_2014,BUF,1,gambiae,2014
40,0.03544903449923452,BUF_1_gambiae_2014,BUF,1,gambiae,2014
40,0.03551095009576655,BUF_1_gambiae_2014,BUF,1,gambiae,2014
45,0.036314661219987415,BUF_1_gambiae_2014,BUF,1,gambiae,2014
45,0.03634588168691439,BUF_1_gambiae_2014,BUF,1,gambiae,2014
45,0.03632024804038486,BUF_1_gambiae_2014,BUF,1,gambiae,2014
45,0.036395505797503586,BUF_1_gambiae_2014,BUF,1,gambiae,2014
45,0.036333393500143585,BUF_1_gambiae_2014,BUF,1,gambiae,2014
10,0.024650437119093125,CAR_1_coluzzii_1994,CAR,1,coluzzii,1994
10,0.02476459431188051,CAR_1_coluzzii_1994,CAR,1,coluzzii,1994
10,0.024720434739361932,CAR_1_coluzzii_1994,CAR,1,coluzzii,1994
10,0.024641981030738502,CAR_1_coluzzii_1994,CAR,1,coluzzii,1994
10,0.024638692551933933,CAR_1_coluzzii_1994,CAR,1,coluzzii,1994
10,0.027412759314936003,CAR_1_gambiae_1994,CAR,1,gambiae,1994
10,0.026889891185008605,CAR_1_gambiae_1994,CAR,1,gambiae,1994
10,0.026759291598198343,CAR_1_gambiae_1994,CAR,1,gambiae,1994
10,0.026888481836949498,CAR_1_gambiae_1994,CAR,1,gambiae,1994
10,0.02693968814976359,CAR_1_gambiae_1994,CAR,1,gambiae,1994
15,0.029336233284893962,CAR_1_gambiae_1994,CAR,1,gambiae,1994
15,0.029218016661922364,CAR_1_gambiae_1994,CAR,1,gambiae,1994
15,0.02949357498237216,CAR_1_gambiae_1994,CAR,1,gambiae,1994
15,0.02937535835940057,CAR_1_gambiae_1994,CAR,1,gambiae,1994
15,0.029456974106220817,CAR_1_gambiae_1994,CAR,1,gambiae,1994
20,0.03125864691691176,CAR_1_gambiae_1994,CAR,1,gambiae,1994
20,0.031134436740008164,CAR_1_gambiae_1994,CAR,1,gambiae,1994
20,0.03123787991572598,CAR_1_gambiae_1994,CAR,1,gambiae,1994
20,0.03140636690647849,CAR_1_gambiae_1994,CAR,1,gambiae,1994
20,0.03143379502125215,CAR_1_gambiae_1994,CAR,1,gambiae,1994
25,0.033042691464374864,CAR_1_gambiae_1994,CAR,1,gambiae,1994
25,0.032804926075303144,CAR_1_gambiae_1994,CAR,1,gambiae,1994
25,0.032997296507462894,CAR_1_gambiae_1994,CAR,1,gambiae,1994
25,0.03295897125695525,CAR_1_gambiae_1994,CAR,1,gambiae,1994
25,0.03282836773338064,CAR_1_gambiae_1994,CAR,1,gambiae,1994
30,0.03430152502502764,CAR_1_gambiae_1994,CAR,1,gambiae,1994
30,0.03414176361623363,CAR_1_gambiae_1994,CAR,1,gambiae,1994
30,0.034044906028351814,CAR_1_gambiae_1994,CAR,1,gambiae,1994
30,0.03430938800264167,CAR_1_gambiae_1994,CAR,1,gambiae,1994
30,0.03436049735713281,CAR_1_gambiae_1994,CAR,1,gambiae,1994
35,0.035387193881704616,CAR_1_gambiae_1994,CAR,1,gambiae,1994
35,0.035465018106585935,CAR_1_gambiae_1994,CAR,1,gambiae,1994
35,0.03518104615713009,CAR_1_gambiae_1994,CAR,1,gambiae,1994
35,0.03528688710296868,CAR_1_gambiae_1994,CAR,1,gambiae,1994
35,0.03541417294633015,CAR_1_gambiae_1994,CAR,1,gambiae,1994
40,0.03643901104813243,CAR_1_gambiae_1994,CAR,1,gambiae,1994
40,0.036536595412231816,CAR_1_gambiae_1994,CAR,1,gambiae,1994
40,0.036501936138086166,CAR_1_gambiae_1994,CAR,1,gambiae,1994
40,0.036463575388060894,CAR_1_gambiae_1994,CAR,1,gambiae,1994
40,0.036387526883624816,CAR_1_gambiae_1994,CAR,1,gambiae,1994
45,0.037453058035093474,CAR_1_gambiae_1994,CAR,1,gambiae,1994
45,0.037455029854057284,CAR_1_gambiae_1994,CAR,1,gambiae,1994
45,0.037361697089770295,CAR_1_gambiae_1994,CAR,1,gambiae,1994
45,0.03744779985118998,CAR_1_gambiae_1994,CAR,1,gambiae,1994
45,0.03739291755669728,CAR_1_gambiae_1994,CAR,1,gambiae,1994
50,0.03814736952451858,CAR_1_gambiae_1994,CAR,1,gambiae,1994
50,0.03820145095841944,CAR_1_gambiae_1994,CAR,1,gambiae,1994
50,0.03813159577296416,CAR_1_gambiae_1994,CAR,1,gambiae,1994
50,0.03821078644403327,CAR_1_gambiae_1994,CAR,1,gambiae,1994
50,0.038161855622884884,CAR_1_gambiae_1994,CAR,1,gambiae,1994
10,0.023512153670023853,CIV_1_coluzzii_2012,CIV,1,coluzzii,2012
10,0.02345577974765972,CIV_1_coluzzii_2012,CIV,1,coluzzii,2012
