derived_sample_id	seq_tech	ebi_sample_acc
AD0322-C	HiSeq	ERS156812
AD0323-C	HiSeq	ERS156478
AD0324-C	HiSeq	ERS156492
AD0325-C	HiSeq	ERS176070
AD0326-C	HiSeq	ERS156453
AD0327-C	HiSeq	ERS156502
AD0328-C	HiSeq	ERS154451
AD0329-C	HiSeq	ERS156505
AD0330-C	HiSeq	ERS154453
AD0331-C	HiSeq	ERS156491
AD0332-C	HiSeq	ERS156432
AD0333-C	HiSeq	ERS156437
AD0334-C	HiSeq	ERS156847
AD0335-C	HiSeq	ERS156809
AD0336-C	HiSeq	ERS156447
AD0337-C	HiSeq	ERS156443
AD0338-C	HiSeq	ERS156499
AD0339-C	HiSeq	ERS156476
AD0340-C	HiSeq	ERS156519
AD0341-C	HiSeq	ERS156452
AD0342-C	HiSeq	ERS154441
AD0343-C	HiSeq	ERS154437
AD0344-C	HiSeq	ERS154446
AD0345-C	HiSeq	ERS156442
AD0346-C	HiSeq	ERS154445
AD0347-C	HiSeq	ERS150915
AD0348-C	HiSeq	ERS151007
AD0349-C	HiSeq	ERS150968
AD0350-C	HiSeq	ERS150969
AD0351-C	HiSeq	ERS150990
AD0352-C	HiSeq	ERS151008
AD0353-C	HiSeq	ERS150926
AD0354-C	HiSeq	ERS150917
AD0355-C	HiSeq	ERS150918
AD0356-C	HiSeq	ERS150945
AD0357-C	HiSeq	ERS150927
AD0358-C	HiSeq	ERS151016
AD0359-C	HiSeq	ERS150929
AD0360-C	HiSeq	ERS150930
AD0361-C	HiSeq	ERS150995
AD0362-C	HiSeq	ERS151024
AD0363-C	HiSeq	ERS151027
AD0364-C	HiSeq	ERS150932
AD0365-C	HiSeq	ERS151004
AD0366-C	HiSeq	ERS150933
AD0367-C	HiSeq	ERS150920
AD0368-C	HiSeq	ERS150921
AD0369-C	HiSeq	ERS150996
AD0370-C	HiSeq	ERS150992
AD0371-C	HiSeq	ERS156456
AD0372-C	HiSeq	ERS176055
AD0373-C	HiSeq	ERS176047
AD0374-C	HiSeq	ERS157523
AD0375-C	HiSeq	ERS156794
AD0376-C	HiSeq	ERS156507
AD0377-C	HiSeq	ERS156814
AD0378-C	HiSeq	ERS156859
AD0379-C	HiSeq	ERS156823
AD0380-C	HiSeq	ERS156520
AD0381-C	HiSeq	ERS156805
AD0382-C	HiSeq	ERS156834
AD0383-C	HiSeq	ERS176040
AD0384-C	HiSeq	ERS157511
AD0385-C	HiSeq	ERS156872
AD0386-C	HiSeq	ERS156839
AD0387-C	HiSeq	ERS156861
AD0388-C	HiSeq	ERS156876
AD0389-C	HiSeq	ERS156879
AD0390-C	HiSeq	ERS176054
AD0391-C	HiSeq	ERS176057
AD0392-C	HiSeq	ERS156807
AD0393-C	HiSeq	ERS157513
AD0394-C	HiSeq	ERS156795
AD0395-C	HiSeq	ERS176048
AD0396-C	HiSeq	ERS176050
AD0397-C	HiSeq	ERS176065
AD0398-C	HiSeq	ERS156873
AD0399-C	HiSeq	ERS176027
AD0400-C	HiSeq	ERS156865
AD0401-C	HiSeq	ERS176029
AD0402-C	HiSeq	ERS156500
AD0403-C	HiSeq	ERS156877
AD0404-C	HiSeq	ERS156853
AD0405-C	HiSeq	ERS156827
AD0406-C	HiSeq	ERS156846
AD0407-C	HiSeq	ERS156501
AD0408-C	HiSeq	ERS156784
AD0409-C	HiSeq	ERS156848
AD0410-C	HiSeq	ERS156785
