path	sample	reads	bases
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/c/1/4/1215759/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0167-C	65759440	6288688800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/1/4/d/1214940/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0058-Cx	22640771	2165377600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/7/5/c/9/1216844/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0144-C	97831602	9407773800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/4/5/0/1217012/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0208-Cx	87967326	8429088600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/c/f/c/1216377/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AS0069-Cx	98949400	9476712200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/d/0/8/1215136/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0092-C	88915602	8581902200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/c/1/1/1217399/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	BL0220-C	80441330	8791864770
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/c/e/0/f/1216339/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0026-Cx	88068281	8455339400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/c/a/e/1215395/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0125-C	94942208	9123874200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/3/6/7/4/1215781/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	BL0394-C	83851643	11486141160
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/5/4/2/e/1217136/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0094-C	80541845	7779377800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/a/3/8/b/1215116/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0114-C	91775931	8834083600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/8/0/2/1216072/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0058-C	107542261	10310477000
